Name,Link,Image_Link,Fit,Fabric,Suitable_For,Sleeve,Color,Occasion,Type,Measurements,Price,Brand,Cloth_Type,id
Men Linen Blend Top and Pant,https://www.flipkart.com/blackship-men-top-pant/p/itm4367bd8c8c7db?pid=ETHGPG2UB3HTREXV&lid=LSTETHGPG2UB3HTREXVF1TCHQ&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_11&otracker=browse&fm=organic&iid=en_r8PCl3WFI7H--ULGqYy4ZcFufu1MShICFRHYoxQmA5mwj9S3nfmbCKAjDlvTXkIui7Bgaz4zkeBlCKP9Yx_-rQ%3D%3D&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/h/a/p/l-shirt-pent-pair-blackship-original-imagpg2ufgtubzh2.jpeg?q=70,,Linen Blend,,,,Ethnic,Top and Pant,"[['S', 'M', 'L', 'XL']]",699,BLACKSHIP ,Ethnic Sets,11
Men Linen Blend Top and Pant,https://www.flipkart.com/blackship-men-top-pant/p/itm01506fa0fea18?pid=ETHGPG2UZQKPH3DH&lid=LSTETHGPG2UZQKPH3DHLKOWEU&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_12&otracker=browse&fm=organic&iid=en_r8PCl3WFI7H--ULGqYy4ZcFufu1MShICFRHYoxQmA5mJ3w8CBFID9iQsy-AZEV5PCUT-vT-nPfneInR8diwwpQ%3D%3D&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/2/b/q/m-shirt-pent-pair-blackship-original-imagpg2uwtkcgzsx.jpeg?q=70,,Linen Blend,,,,Ethnic,Top and Pant,"[['S', 'M', 'L', 'XL']]",699,BLACKSHIP ,Ethnic Sets,12
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/vinaari-men-kurta-pyjama-set/p/itm64afa28f646cc?pid=ETHGNPB7AXV389NH&lid=LSTETHGNPB7AXV389NHUXDIO9&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_13&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGNPB7AXV389NH.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/z/w/3/s-blue-kurta-s-kaashi-couture-original-imagn8rdqsfz6xnc.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['S', 'M', 'L', 'XL', 'XXL']]",279,VINAARI ,Ethnic Sets,13
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/vinaari-men-kurta-pyjama-set/p/itm0c64132de8c00?pid=ETHGNPB77VV4J733&lid=LSTETHGNPB77VV4J733OTZ8E8&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_14&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGNPB77VV4J733.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/1/s/w/xxl-19-red-kurta-s-kaashi-couture-original-imagn8rdfxzkdmn3.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['S', 'M', 'L', 'XL', 'XXL']]",269,VINAARI ,Ethnic Sets,14
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/vinaari-men-kurta-pyjama-set/p/itm30baf46fbcb79?pid=ETHGNPB7FVD4Q8CX&lid=LSTETHGNPB7FVD4Q8CXHOMEYS&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_15&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGNPB7FVD4Q8CX.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/z/u/c/l-blue-kurta-s-kaashi-couture-original-imagn8rgmng9yrvy.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['S', 'M', 'L', 'XL', 'XXL']]",274,VINAARI ,Ethnic Sets,15
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/vinaari-men-kurta-pyjama-set/p/itm7d343087b020f?pid=ETHGNPB7QJBWUZFV&lid=LSTETHGNPB7QJBWUZFV2JTII5&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_16&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGNPB7QJBWUZFV.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/z/w/3/s-blue-kurta-s-kaashi-couture-original-imagn8rdqsfz6xnc.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['S', 'M', 'L', 'XL', 'XXL']]",274,VINAARI ,Ethnic Sets,16
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/kaashi-couture-men-kurta-pyjama-set/p/itm1634765294bff?pid=ETHGMG37JFTDPYJH&lid=LSTETHGMG37JFTDPYJHXLEMWG&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_17&otracker=browse&fm=organic&iid=en_r8PCl3WFI7H--ULGqYy4ZcFufu1MShICFRHYoxQmA5nUE1xDe0CIaabXXJfeAnnON5Nn7_YgbTR0VwISXoybZg%3D%3D&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/t/m/j/s-ks-013-kaashi-couture-original-imagmgffuqjh5ymg.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['S', 'M', 'L', 'XL', 'XXL']]",369,Kaashi Couture ,Ethnic Sets,17
Men Linen Blend Top and Pant,https://www.flipkart.com/blackship-men-top-pant/p/itm144ca9398cec7?pid=ETHGPG2UYKJ2YPK3&lid=LSTETHGPG2UYKJ2YPK3SQE4ZG&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_18&otracker=browse&fm=organic&iid=en_r8PCl3WFI7H--ULGqYy4ZcFufu1MShICFRHYoxQmA5nfHnXKsCbTeaPhBaN11x6IRhQ7t64r1IpVs10wPlcSWw%3D%3D&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/6/z/e/xl-shirt-pent-pair-blackship-original-imagpg2udpafczeq.jpeg?q=70,,Linen Blend,,,,Ethnic,Top and Pant,"[['S', 'M', 'L', 'XL']]",699,BLACKSHIP ,Ethnic Sets,18
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/dashlani-men-kurta-pyjama-set/p/itm6404280ad4795?pid=ETHGRZRGCUC9ZVKG&lid=LSTETHGRZRGCUC9ZVKG1807RA&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_19&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGRZRGCUC9ZVKG.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/1/y/0/36-1line-kurta-sky-blue-36-dashlani-original-imagrzrbfqzct234.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['24', '28', '36']]",449,dashlani ,Ethnic Sets,19
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/vinaari-men-kurta-pyjama-set/p/itm3546eadfa5c81?pid=ETHGNPB75CMFG2EY&lid=LSTETHGNPB75CMFG2EY2OKCHN&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_20&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGNPB75CMFG2EY.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/kurta/z/w/3/s-blue-kurta-s-kaashi-couture-original-imagn8rdqsfz6xnc.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['S', 'M', 'L', 'XL', 'XXL']]",274,VINAARI ,Ethnic Sets,20
Men Cotton Blend Kurta and Churidar Set,https://www.flipkart.com/freestyle-fashion-men-kurta-churidar-set/p/itm2eeb5a47411b1?pid=ETHGQP3ZZRZTED5F&lid=LSTETHGQP3ZZRZTED5FLPTTRN&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_21&otracker=browse&fm=organic&iid=en_r8PCl3WFI7H--ULGqYy4ZcFufu1MShICFRHYoxQmA5lzZ_aKkYLv6O1Ee8MZpMblRHyf5jv33_4bKRIsc8pZQg%3D%3D&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/shopsy-kurta/u/v/s/xl-shoppy-simple-black-only-kurta-kavyangel-creation-original-imagj8mdhdjsrk5f.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Churidar Set,"[['36', '38', '40', '42', '44']]",499,Freestyle fashion ,Ethnic Sets,21
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/kaashi-couture-men-kurta-pyjama-set/p/itmb2a3c4e5f86aa?pid=ETHGMG37B8KPJBKB&lid=LSTETHGMG37B8KPJBKBJBFFOL&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_22&otracker=browse&fm=organic&iid=en_r8PCl3WFI7H--ULGqYy4ZcFufu1MShICFRHYoxQmA5nS5FmWo60voioKxPcUwcUaOHWNbla6SpAn4HejAV7MRg%3D%3D&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/t/v/t/l-ks-013-kaashi-couture-original-imagmgffkbyjgpdk.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['S', 'M', 'L', 'XL', 'XXL']]",414,Kaashi Couture ,Ethnic Sets,22
Men Art Silk Kurta and Pyjama Set,https://www.flipkart.com/koshin-men-kurta-pyjama-set/p/itm6b5234c8f0cb9?pid=ETHGE9E6EGZUZZ2J&lid=LSTETHGE9E6EGZUZZ2JPSQGFL&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_23&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGE9E6EGZUZZ2J.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/a/j/d/xxl-ss-p-001-c-koshin-original-imagny4csh2chmyu.jpeg?q=70,,Art Silk,,,,Ethnic,Kurta and Pyjama Set,"[['S', 'M', 'L', 'XL', 'XXL']]",749,Koshin ,Ethnic Sets,23
Men Cotton Blend Kurta and Pyjama Set,https://www.flipkart.com/fubar-men-kurta-pyjama-set/p/itmbb850cd49f07d?pid=ETHGA8Y42JZU4ZVP&lid=LSTETHGA8Y42JZU4ZVPGA7OXI&marketplace=FLIPKART&store=clo%2Fcfv%2Fitg%2Fpme&srno=b_1_24&otracker=browse&fm=organic&iid=a7275bf2-17e6-46b1-bc9d-a7e702fc41ae.ETHGA8Y42JZU4ZVP.SEARCH&ppt=None&ppn=None&ssid=xds2y3ie680000001691642295776,https://rukminim2.flixcart.com/image/832/832/xif0q/ethnic-set/k/k/w/l-krtpj-print-set-mabr-fubar-original-imagptfxrptjfbwn.jpeg?q=70,,Cotton Blend,,,,Ethnic,Kurta and Pyjama Set,"[['M', 'L', 'XL']]",665,FUBAR ,Ethnic Sets,24
