Name,Link,Image_Link,Length,Color,Type,Price,Brand,SuitableFor,Neck,Pattern,clothType,id
Casual Puff Sleeves Solid Women Black Top,https://www.flipkart.com/sheetal-associates-casual-solid-women-black-top/p/itmd0c21606e6ff9?pid=TOPGJTFTYQTTP7N6&lid=LSTTOPGJTFTYQTTP7N6CQKRES&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_13&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TOPGJTFTYQTTP7N6.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/top/d/6/i/s-4261-sheetal-associates-original-imagjtft5jrzgwph.jpeg?q=70,Hip Length,Black,Regular Top,265,Sheetal Associates ,,Round Neck,Solid,casual,21
Women Self Design Single Breasted Casual Blazer  (Black),https://www.flipkart.com/rocksy-self-design-single-breasted-casual-women-blazer/p/itm8ee3e63552db3?pid=BZRGRNJSMCHACME7&lid=LSTBZRGRNJSMCHACME774LE5D&marketplace=FLIPKART&q=womens+formals&store=clo&srno=s_1_37&otracker=search&otracker1=search&fm=organic&iid=en_sDuQMMExtyloJR53DEsS0Jp5qzjw9MMQnFccCv8-OMu9ujx0arVxX9OmS0Qi37rr14A8shesqt_UjtlLe6_qWg%3D%3D&ppt=None&ppn=None&ssid=bp82m3m38g0000001692019446855&qH=b75f5539ad8ca541,https://rukminim2.flixcart.com/image/832/832/xif0q/blazer/w/3/p/xl-rock-for-01-black-rocksy-original-imagrnj8m5wkzv3y.jpeg?q=70,,Black,Single Breasted,759,Rocksy ,,,Self Design,formal,22
Women Regular Fit Solid Spread Collar Casual Shirt,https://www.flipkart.com/v-mart-women-solid-casual-pink-shirt/p/itmebe3e7ab222d6?pid=SHTGHUF6ZGMKWYJH&lid=LSTSHTGHUF6ZGMKWYJHDSMDNE&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_28&otracker=browse&fm=organic&iid=en_RxdkU8V5L7HlA-YCzogGl4Z_CemfRXlC1KjUHfB_v8yPFijoGaC1Q5JhJmY62hTOZe1vNRDRpN6UB1-Haf_yXQ%3D%3D&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/0/p/q/s-458736-v-mart-original-imaghuf6cnfy4zmx.jpeg?q=70,,Pink,,249,V-MART ,Western Wear,,Solid,casual,23
Women Solid Round Neck Pure Cotton Blue T-Shirt,https://www.flipkart.com/here-now-solid-women-round-neck-blue-t-shirt/p/itm8a43f96c10196?pid=TSHG8RHJGKCWKWPX&lid=LSTTSHG8RHJGKCWKWPX9HNOVM&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_31&otracker=browse&fm=organic&iid=en_RxdkU8V5L7HlA-YCzogGl4Z_CemfRXlC1KjUHfB_v8wIprULzGpfDrCcpp7LmRuBRy13f042_iROM2mA-qgtaQ%3D%3D&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/t-shirt/g/q/3/l-15211118-here-now-original-imag8rheqtccwt5f-bb.jpeg?q=70,,,Round Neck,255,HERE&NOW ,Western Wear,,Solid,casual,24
"Women Solid Single Breasted Formal, Casual, Party Blazer  (Black)",https://www.flipkart.com/procent-solid-single-breasted-formal-casual-party-women-blazer/p/itm503c7f4fb6fff?pid=BZRFUVHZUXSAZRWE&lid=LSTBZRFUVHZUXSAZRWE766PEH&marketplace=FLIPKART&q=womens+formals&store=clo&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=a441ed9e-95bf-480e-9280-cc5735b38858.BZRFUVHZUXSAZRWE.SEARCH&ppt=None&ppn=None&ssid=bp82m3m38g0000001692019446855&qH=b75f5539ad8ca541,https://rukminim2.flixcart.com/image/832/832/xif0q/blazer/u/s/5/xs-s01-procent-original-imafuxffz5usdj7z-bb.jpeg?q=70,,,,1355,Procent ,,,,formal,25
Women Regular Fit Solid Casual Shirt,https://www.flipkart.com/all-you-women-solid-casual-purple-shirt/p/itm37752f13c54e1?pid=SHTGYYYZURY7DCZA&lid=LSTSHTGYYYZURY7DCZAPVJWGE&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_17&otracker=browse&fm=organic&iid=en_RxdkU8V5L7HlA-YCzogGl4Z_CemfRXlC1KjUHfB_v8xMlgTRqCXt0aQZgQotXT5TCYtRkWmx2UZDWGywD7X4FQ%3D%3D&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/kkr72q80/shirt/f/p/y/xs-13205276-all-about-you-original-imagyyynfjhfgcak.jpeg?q=70,,Purple,,959,all about you ,Western Wear,,Solid,casual,26
Women Tie & Dye Round Neck Pure Cotton Multicolor T-Shirt,https://www.flipkart.com/dry-state-tie-dye-women-round-neck-multicolor-t-shirt/p/itm6929ae1bbe6d9?pid=TSHGMPTARSTZGX4M&lid=LSTTSHGMPTARSTZGX4MVTTW5X&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_30&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TSHGMPTARSTZGX4M.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/1080/1080/xif0q/t-shirt/i/l/w/m-3810-the-dry-state-original-imagmpta3phew4xg.jpeg?q=70,,,Round Neck,346,THE DRY STATE ,Western Wear,,Tie & Dye,casual,27
Women Regular Fit Solid Mandarin Collar Formal Shirt,https://www.flipkart.com/v-mart-women-solid-formal-black-shirt/p/itm4f52ef11ebca3?pid=SHTGZBE6GRZZBA5B&lid=LSTSHTGZBE6GRZZBA5BECMTIC&marketplace=FLIPKART&q=womens+formals&store=clo&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=en_sDuQMMExtyloJR53DEsS0Jp5qzjw9MMQnFccCv8-OMvcaOS6R6iHgrBoeeeafRzUXnxuV9avyXZZJ0ZwVl0cJQ%3D%3D&ppt=None&ppn=None&ssid=bp82m3m38g0000001692019446855&qH=b75f5539ad8ca541,https://rukminim2.flixcart.com/image/832/832/xif0q/shirt/j/j/b/s-594500-v-mart-original-imagzbe6rhbzt7pj.jpeg?q=70,,Black,,299,V-MART ,Western Wear,,Solid,formal,28
Women Typography Round Neck Pure Cotton Black T-Shirt,https://www.flipkart.com/calm-down-typography-women-round-neck-black-t-shirt/p/itmc7e9b471e173d?pid=TSHGHCUGSGHJN4KP&lid=LSTTSHGHCUGSGHJN4KPHH4HYY&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_33&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TSHGHCUGSGHJN4KP.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/1026/1026/xif0q/t-shirt/i/n/r/xl-cd-obsessed-b-calm-down-original-imaghq6m55nv5hup.jpeg?q=70,,,Round Neck,224,Calm Down ,Western Wear,,Typography,casual,29
Casual Regular Sleeves Printed Women Multicolor Top,https://www.flipkart.com/god-bless-casual-printed-women-multicolor-top/p/itm02bb6ac018c06?pid=TOPGKDHBMACH7WF6&lid=LSTTOPGKDHBMACH7WF6JHTIOI&marketplace=FLIPKART&store=clo%2Fash&srno=b_1_24&otracker=browse&fm=organic&iid=e77c0076-4fbc-43f7-8afa-5a8f962626ea.TOPGKDHBMACH7WF6.SEARCH&ppt=None&ppn=None&ssid=24kif9fbj40000001692018801290,https://rukminim2.flixcart.com/image/832/832/xif0q/top/a/d/m/xxl-gbk1367-god-bless-original-imagkdhbzqjfkj5d.jpeg?q=70,Hip Length,Multicolor,Peplum Top,427,God Bless ,,Round Neck,Printed,casual,30
