Name,Link,Image_Link,Closure,Pocket Type,Fabric,Suitable_For,Sleeve,Color,Measurements,Price,Brand,id
511 Men Slim High Rise Blue Jeans,https://www.flipkart.com/levi-s-511-slim-men-blue-jeans/p/itm217168a43bf6e?pid=JEAGDWYXH4ARWQD6&lid=LSTJEAGDWYXH4ARWQD69YW3OR&marketplace=FLIPKART&store=clo%2Fvua&srno=b_1_26&otracker=browse&fm=organic&iid=a366bf24-c376-45b0-88d7-d320f0328de2.JEAGDWYXH4ARWQD6.SEARCH&ppt=None&ppn=None&ssid=qzcvao85og0000001691554776819,https://rukminim2.flixcart.com/image/832/832/xif0q/jean/v/v/l/-original-imagjcgcztpwd5ez.jpeg?q=70,Button & Zip,,Cotton Blend,Western Wear,,Blue,"[['28', '30', '32', '34', '36', '38']]",1644,LEVI'S,11
Men Slim Fit Beige Polycotton Trousers,https://www.flipkart.com/arrow-slim-fit-men-beige-trousers/p/itm2c0a9159a4810?pid=TROGHFS9ZYXNCXHF&lid=LSTTROGHFS9ZYXNCXHFABWBXA&marketplace=FLIPKART&store=clo%2Fvua&srno=b_2_53&otracker=browse&fm=organic&iid=13bbde0e-4984-4602-ab35-1773a7e61b0c.TROGHFS9ZYXNCXHF.SEARCH&ppt=None&ppn=None&ssid=crryb3vg400000001691554934852,https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/b/7/j/44-anaetr2252-arrow-original-imaghfs8sjhvgggk.jpeg?q=70,Button,,Polycotton,Western Wear,,Beige,"[['30', '32', '34', '36', '38', '40', '42', '44', '46', '48']]",1034,ARROW,12
Men Slim Mid Rise Blue Jeans,https://www.flipkart.com/wrangler-slim-men-blue-jeans/p/itm64dcd5629e077?pid=JEAGMNF43PQHMJWZ&lid=LSTJEAGMNF43PQHMJWZIFHWCI&marketplace=FLIPKART&store=clo%2Fvua&srno=b_2_43&otracker=browse&fm=organic&iid=13bbde0e-4984-4602-ab35-1773a7e61b0c.JEAGMNF43PQHMJWZ.SEARCH&ppt=None&ppn=None&ssid=crryb3vg400000001691554934852,https://rukminim2.flixcart.com/image/832/832/xif0q/jean/s/w/b/32-wmjn005491-wrangler-original-imagmnf3fegtbkeu.jpeg?q=70,Button and Zip,,Cotton Blend,Western Wear,,Blue,"[['28', '30', '32', '34', '36', '38', '40', '42']]",1395,Wrangler,13
Men Skinny Mid Rise Dark Green Jeans,https://www.flipkart.com/killer-skinny-men-dark-green-jeans/p/itmace5193cebbc9?pid=JEAGPGP64PHWHRYT&lid=LSTJEAGPGP64PHWHRYTD1TCUJ&marketplace=FLIPKART&store=clo%2Fvua&srno=b_1_15&otracker=browse&fm=organic&iid=a366bf24-c376-45b0-88d7-d320f0328de2.JEAGPGP64PHWHRYT.SEARCH&ppt=None&ppn=None&ssid=qzcvao85og0000001691554776819,https://rukminim2.flixcart.com/image/832/832/xif0q/jean/u/q/t/32-ak-2311-anklft-ltolv-killer-original-imagraabmwpf3mcz.jpeg?q=70,Button,"Coin Pocket, Curved Pocket, Patch Pocket",Cotton Lycra Blend,Western Wear,,Dark Green,"[['30', '32', '34', '36', '38']]",1229,KILLER,14
Men Slim Mid Rise Light Blue Jeans,https://www.flipkart.com/urbano-fashion-slim-men-light-blue-jeans/p/itmc40f8f5ed5574?pid=JEAFTZRYHXW2VWHZ&lid=LSTJEAFTZRYHXW2VWHZJOBBVC&marketplace=FLIPKART&store=clo%2Fvua&srno=b_1_11&otracker=browse&fm=organic&iid=en__eM9nYk2U7eVz18g7sxGkNcAGxDrj2amYgGi4BATl1R6ZXxqD92VL09gY3Eke_0tHDlyhvo8A-A8fAcXKIQ-SQ%3D%3D&ppt=None&ppn=None&ssid=qzcvao85og0000001691554776819,https://rukminim2.flixcart.com/image/832/832/xif0q/jean/c/x/l/38-epsrustsprcrs-lblue-urbano-fashion-original-imaftzru2pwn2hyd-bb.jpeg?q=70,Buttoned,Diagonal Pocket,Cotton Lycra Blend,Western Wear,,Light Blue,"[['28', '30', '32', '34', '36', '38', '40']]",651,Urbano Fashion,15
Men Regular Mid Rise Blue Jeans,https://www.flipkart.com/pepe-jeans-regular-men-blue/p/itmccae947605d74?pid=JEAGMY6CGKX7GXPB&lid=LSTJEAGMY6CGKX7GXPBJDFB0G&marketplace=FLIPKART&store=clo%2Fvua&srno=b_1_30&otracker=browse&fm=organic&iid=a366bf24-c376-45b0-88d7-d320f0328de2.JEAGMY6CGKX7GXPB.SEARCH&ppt=None&ppn=None&ssid=qzcvao85og0000001691554776819,https://rukminim2.flixcart.com/image/832/832/xif0q/jean/o/t/k/32-pm207355r193-pepe-jeans-original-imagqgfbakcexxsq.jpeg?q=70,Button,"Coin Pocket, Curved Pocket, Patch Pocket",Cotton Blend,Western Wear,,Blue,"[['30', '32', '34', '36', '38']]",1259,Pepe Jeans,16
Men Slim Fit Dark Blue Viscose Rayon Trousers,https://www.flipkart.com/peter-england-slim-fit-men-dark-blue-trousers/p/itme45f87202b3a1?pid=TROGNHDTNF8RCAYY&lid=LSTTROGNHDTNF8RCAYYJMPETN&marketplace=FLIPKART&store=clo%2Fvua&srno=b_2_54&otracker=browse&fm=organic&iid=13bbde0e-4984-4602-ab35-1773a7e61b0c.TROGNHDTNF8RCAYY.SEARCH&ppt=None&ppn=None&ssid=crryb3vg400000001691554934852,https://rukminim2.flixcart.com/image/832/832/xif0q/trouser/b/j/g/32-petfwnsp158518-peter-england-original-imagpttfpvzydhcc.jpeg?q=70,Button,,Viscose Rayon,Western Wear,,Dark Blue,"[['30', '32', '34', '36', '38']]",809,PETER ENGLAND,17
Men Regular Fit Brown Pure Cotton Trousers,https://www.flipkart.com/forever-21-regular-fit-men-brown-trousers/p/itm3c11a556a63fe?pid=TROGPZHZDDBAQTSP&lid=LSTTROGPZHZDDBAQTSPA4DZD5&marketplace=FLIPKART&store=clo%2Fvua&srno=b_1_19&otracker=browse&fm=organic&iid=a366bf24-c376-45b0-88d7-d320f0328de2.TROGPZHZDDBAQTSP.SEARCH&ppt=None&ppn=None&ssid=qzcvao85og0000001691554776819,https://rukminim2.flixcart.com/image/832/832/xif0q/track-pant/m/f/4/-original-imagzmgwzmyeqjnk.jpeg?q=70,,,Pure Cotton,Western Wear,,Brown,"[['29', '31', '35', '37', '39']]",1170,FOREVER 21,18
Solid Men Black Tights,https://www.flipkart.com/never-lose-solid-men-black-tights/p/itm3bf1ae3b20e1c?pid=TGTFKGQYF9AKFCRC&lid=LSTTGTFKGQYF9AKFCRCBRSFDJ&marketplace=FLIPKART&store=clo%2Fvua&srno=b_1_1&otracker=browse&fm=organic&iid=en__eM9nYk2U7eVz18g7sxGkNcAGxDrj2amYgGi4BATl1Sng3_peeqKAhr68WZ29TEit6kcHCZYyKDGLikHfTo3iw%3D%3D&ppt=None&ppn=None&ssid=qzcvao85og0000001691554776819,https://rukminim2.flixcart.com/image/832/832/xif0q/tight/c/r/c/m-pro-plus-never-lose-original-imafkhhhpn68xrr7-bb.jpeg?q=70,,,Polyester,,,Black,"[['XS', 'S', 'M', 'L', 'XL', 'XXL']]",154,never lose,19
Men Skinny Mid Rise Grey Jeans,https://www.flipkart.com/killer-skinny-men-grey-jeans/p/itmf1446827dbf9e?pid=JEAGQKGQ44GUVFGS&lid=LSTJEAGQKGQ44GUVFGSN68L7Y&marketplace=FLIPKART&store=clo%2Fvua&srno=b_2_46&otracker=browse&fm=organic&iid=13bbde0e-4984-4602-ab35-1773a7e61b0c.JEAGQKGQ44GUVFGS.SEARCH&ppt=None&ppn=None&ssid=crryb3vg400000001691554934852,https://rukminim2.flixcart.com/image/832/832/xif0q/jean/q/p/j/32-ak-2159-anklft-gry-killer-original-imagrenkabdv5dft.jpeg?q=70,Button,,Cotton Lycra Blend,Western Wear,,Grey,"[['30', '32', '34', '36', '38']]",1409,KILLER,20
